[2020-02-09 01:33] [Weapon Hacks] Teste_Teste (43 times) - AK-47 (77 ammo, expected 0)
[2020-02-09 01:35] [Weapon Hacks] Teste_Teste (44 times) - AK-47 (77 ammo, expected 0)
[2020-02-09 01:42] [Weapon Hacks] Teste_Teste (45 times) - AK-47 (83 ammo, expected 0)
[2020-02-09 01:42] [Weapon Hacks] Teste_Teste (46 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 01:42] [Weapon Hacks] Teste_Teste (47 times) - AK-47 (72 ammo, expected 0)
[2020-02-09 01:43] [Weapon Hacks] Teste_Teste (48 times) - AK-47 (86 ammo, expected 0)
[2020-02-09 01:46] [Weapon Hacks] Teste_Teste (49 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 01:46] [Weapon Hacks] Teste_Teste (50 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 01:47] [Weapon Hacks] Teste_Teste (51 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 01:50] [Weapon Hacks] Teste_Teste (52 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 01:52] [Weapon Hacks] Teste_Teste (53 times) - AK-47 (81 ammo, expected 0)
[2020-02-09 01:53] [Weapon Hacks] Teste_Teste (54 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 02:00] [Weapon Hacks] Teste_Teste (55 times) - AK-47 (78 ammo, expected 0)
[2020-02-09 02:07] [Weapon Hacks] Teste_Teste (56 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 02:17] [Weapon Hacks] Konaly_Brabo (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 02:27] [Weapon Hacks] Teste_Teste (1 times) - Shotgun (84 ammo, expected 0)
[2020-02-09 02:27] [Weapon Hacks] Teste_Teste (2 times) - Shotgun (87 ammo, expected 0)
[2020-02-09 02:27] [Weapon Hacks] Teste_Teste (3 times) - Shotgun (83 ammo, expected 0)
[2020-02-09 02:31] [Weapon Hacks] Konaly_Brabo (3 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 02:31] [Weapon Hacks] Konaly_Brabo (4 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 02:31] [Weapon Hacks] Teste_Teste (4 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:32] [Weapon Hacks] Teste_Teste (5 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:32] [Weapon Hacks] Konaly_Brabo (5 times) - Sniper (87 ammo, expected 0)
[2020-02-09 02:32] [Weapon Hacks] Teste_Teste (6 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:32] [Weapon Hacks] Konaly_Brabo (6 times) - Sniper (89 ammo, expected 0)
[2020-02-09 02:32] [Weapon Hacks] Teste_Teste (7 times) - Sniper (88 ammo, expected 0)
[2020-02-09 02:32] [Weapon Hacks] Konaly_Brabo (7 times) - Sniper (89 ammo, expected 0)
[2020-02-09 02:32] [Weapon Hacks] Teste_Teste (8 times) - Sniper (86 ammo, expected 0)
[2020-02-09 02:33] [Weapon Hacks] Konaly_Brabo (8 times) - Sniper (89 ammo, expected 0)
[2020-02-09 02:33] [Weapon Hacks] Teste_Teste (9 times) - Sniper (86 ammo, expected 0)
[2020-02-09 02:33] [Weapon Hacks] Konaly_Brabo (9 times) - Sniper (88 ammo, expected 0)
[2020-02-09 02:33] [Weapon Hacks] Teste_Teste (10 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:33] [Weapon Hacks] Teste_Teste (11 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Teste_Teste (12 times) - Sniper (84 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Teste_Teste (13 times) - Sniper (86 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Konaly_Brabo (10 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Teste_Teste (14 times) - Cane (1 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Teste_Teste (15 times) - Rifle (89 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Konaly_Brabo (11 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Teste_Teste (16 times) - Vibrator (1 ammo, expected 0)
[2020-02-09 02:34] [Weapon Hacks] Konaly_Brabo (12 times) - Vibrator (1 ammo, expected 0)
[2020-02-09 02:35] [Weapon Hacks] Konaly_Brabo (13 times) - Sniper (90 ammo, expected 0)
[2020-02-09 02:35] [Weapon Hacks] Konaly_Brabo (14 times) - Sniper (89 ammo, expected 0)
[2020-02-09 02:35] [Weapon Hacks] Konaly_Brabo (15 times) - Sniper (90 ammo, expected 0)
[2020-02-09 05:02] [Weapon Hacks] Teste_Teste (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:04] [Weapon Hacks] Teste_Teste (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:05] [Weapon Hacks] Teste_Teste (3 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:07] [Weapon Hacks] Teste_Teste (4 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:08] [Weapon Hacks] Teste_Teste (5 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:10] [Weapon Hacks] Teste_Teste (6 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:15] [Weapon Hacks] Teste_Teste (7 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:18] [Weapon Hacks] Teste_Teste (8 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:22] [Weapon Hacks] Teste_Teste (9 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:23] [Weapon Hacks] Teste_Teste (10 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 05:26] [Weapon Hacks] Teste_Teste (11 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 19:05] [Weapon Hacks] Teste_Teste (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-09 19:07] [Weapon Hacks] Teste_Teste (2 times) - AK-47 (78 ammo, expected 0)
[2020-02-09 19:10] [Weapon Hacks] Konaly_Brabo (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-10 06:10] [Weapon Hacks] Konaly_Brabo (1 times) - Rocket Launcher HS (89 ammo, expected 0)
[2020-02-10 06:13] [Weapon Hacks] Konaly_Brabo (2 times) - Flower (1 ammo, expected 0)
[2020-02-10 10:41] [Weapon Hacks] Konaly_Brabo (1 times) - Bat (1 ammo, expected 0)
[2020-02-10 10:42] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-11 11:15] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (71 ammo, expected 0)
[2020-02-11 20:22] [Weapon Hacks] Konaly_Brabo (1 times) - Rocket Launcher HS (85 ammo, expected 0)
[2020-02-12 00:34] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (79 ammo, expected 0)
[2020-02-12 00:35] [Weapon Hacks] Konaly_Brabo (1 times) - AK-47 (180 ammo, expected 0)
[2020-02-14 02:07] [Weapon Hacks] Konaly_Brabo (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-14 02:07] [Weapon Hacks] Konaly_Brabo (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-14 02:45] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (85 ammo, expected 0)
[2020-02-14 02:45] [Weapon Hacks] Konaly_Brabo (3 times) - AK-47 (62 ammo, expected 0)
[2020-02-14 02:45] [Weapon Hacks] Lindomar_Silva (2 times) - AK-47 (151 ammo, expected 61)
[2020-02-14 02:46] [Weapon Hacks] Lindomar_Silva (3 times) - Molotov (90 ammo, expected 0)
[2020-02-15 09:00] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 09:03] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 09:59] [Weapon Hacks] Konaly_Brabo (1 times) - Rocket Launcher HS (90 ammo, expected 0)
[2020-02-15 10:00] [Weapon Hacks] Konaly_Brabo (2 times) - Rocket Launcher HS (90 ammo, expected 0)
[2020-02-15 10:01] [Weapon Hacks] Konaly_Brabo (3 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 10:24] [Weapon Hacks] Lindomar_Silva (1 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 10:25] [Weapon Hacks] Lindomar_Silva (2 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 11:53] [Weapon Hacks] Konaly_Brabo (4 times) - AK-47 (90 ammo, expected 0)
[2020-02-15 11:53] [Weapon Hacks] Konaly_Brabo (5 times) - AK-47 (90 ammo, expected 0)
